,dt,blockchain,token_type,asset_id,address,usd_value,token_classification,l1_token,l2_token
131,2024-07-19,optimism,canonical,lusd-lusd-stablecoin,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,2720571.8,Not Proxy or Factory,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,0xc40f949f8a4e094d1b49a23ea9241d289b7b2819
60,2024-07-19,base,canonical,usdt-tether-usd,0xdac17f958d2ee523a2206206994597c13d831ec7,2527242.05,Not Proxy or Factory,0xdac17f958d2ee523a2206206994597c13d831ec7,0xfde4c96c8593536e31f229ea8f37b2ada2699bb2
143,2024-07-19,optimism,canonical,rai-rai-reflex-index,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,101303.58,Not Proxy or Factory,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,0x7fb688ccf682d58f86d7e38e03f9d22e7705448b
126,2024-07-19,optimism,canonical,hop-hop,0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc,1674.16,Not Proxy or Factory,,0xc5102fe9359fd9a28f877a67e36b0f050d81a3cc
121,2024-07-19,optimism,canonical,ens-ethereum-name-service,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,166545.83,Not Proxy or Factory,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,0x65559aa14915a70190438ef90104769e5e890a00
180,2024-07-19,optimism,native,optimism:frax-frax,0x2e3d870790dc77a83dd1d18184acc7439a53f475,4662387.11,Not Proxy or Factory,,0x2e3d870790dc77a83dd1d18184acc7439a53f475
186,2024-07-19,optimism,native,optimism:sfrax-staked-frax,0x2dd1b4d4548accea497050619965f91f78b3b532,1703316.63,Not Proxy or Factory,,0x2dd1b4d4548accea497050619965f91f78b3b532
185,2024-07-19,optimism,native,optimism:zro-layerzero,0x6985884c4392d348587b19cb9eaaf157f13271cd,24065914.4,Not Proxy or Factory,,0x6985884c4392d348587b19cb9eaaf157f13271cd
184,2024-07-19,optimism,native,optimism:fxs-frax-share,0x67ccea5bb16181e7b4109c9c2143c24a1c2205be,490672.38,Not Proxy or Factory,,0x67ccea5bb16181e7b4109c9c2143c24a1c2205be
181,2024-07-19,optimism,native,optimism:frxeth-frax-ether,0x6806411765af15bddd26f8f544a34cc40cb9838b,17389573.56,Not Proxy or Factory,,0x6806411765af15bddd26f8f544a34cc40cb9838b
179,2024-07-19,optimism,external,optimism:usde-usde,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34,15292.62,Not Proxy or Factory,,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34
178,2024-07-19,optimism,external,optimism:stg-stargatetoken,0x296f55f8fb28e498b858d0bcda06d955b2cb3f97,4716805.38,Not Proxy or Factory,,0x296f55f8fb28e498b858d0bcda06d955b2cb3f97
174,2024-07-19,optimism,external,optimism:rseth-kelpdao-restaked-eth,0x4186bfc76e2e237523cbc30fd220fe055156b41f,611206.63,Not Proxy or Factory,,0x4186bfc76e2e237523cbc30fd220fe055156b41f
191,2024-07-19,optimism,native,optimism:pika-pika,0x9a601c5bb360811d96a23689066af316a30c3027,10709834.49,Not Proxy or Factory,,0x9a601c5bb360811d96a23689066af316a30c3027
187,2024-07-19,optimism,native,optimism:sfrxeth-staked-frax-ether,0x484c2d6e3cdd945a8b2df735e079178c1036578c,11429585.87,Not Proxy or Factory,,0x484c2d6e3cdd945a8b2df735e079178c1036578c
192,2024-07-19,optimism,native,optimism:velo-velodrome-finance,0x9560e827af36c94d2ac33a39bce1fe78631088db,83234824.41,Not Proxy or Factory,,0x9560e827af36c94d2ac33a39bce1fe78631088db
111,2024-07-19,optimism,canonical,cyber-cyberconnect,0x14778860e937f509e651192a90589de711fb88a9,4.62,Not Proxy or Factory,,0x14778860e937f509e651192a90589de711fb88a9
193,2024-07-19,optimism,native,optimism:kite-protocol-token,0xf467c7d5a4a9c4687ffc7986ac6ad5a4c81e1404,3452317.0,Not Proxy or Factory,,0xf467c7d5a4a9c4687ffc7986ac6ad5a4c81e1404
164,2024-07-19,optimism,canonical,wbtc-wrapped-btc,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,91850052.4,Not Proxy or Factory,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x68f180fcce6836688e9084f035309e29bf0a2095
195,2024-07-19,optimism,native,optimism:extra-extra-finance,0x2dad3a13ef0c6366220f989157009e501e7938f8,20495077.67,Not Proxy or Factory,,0x2dad3a13ef0c6366220f989157009e501e7938f8
94,2024-07-19,optimism,canonical,aave-aave-token,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,1421398.09,Not Proxy or Factory,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,0x76fb31fb4af56892a25e32cfc43de717950c9278
161,2024-07-19,optimism,canonical,usdc-usd-coin,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,174767470.68,Not Proxy or Factory,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x7f5c764cbc14f9669b88837ca1490cca17c31607
188,2024-07-19,optimism,native,optimism:tarot-tarot,0x1f514a61bcde34f94bc39731235690ab9da737f7,6371437.31,Not Proxy or Factory,,0x1f514a61bcde34f94bc39731235690ab9da737f7
119,2024-07-19,optimism,canonical,enj-enjin-coin,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,92.26,Immutable Factory Created,0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,0x97162a7266ea65d5ff76578990868ba4dd125eb9
120,2024-07-19,optimism,canonical,eqb-equilibria-token,0xfe80d611c6403f70e5b1b9b722d2b3510b740b2b,678853.62,Immutable Factory Created,0xfe80d611c6403f70e5b1b9b722d2b3510b740b2b,0xaf3a6f67af1624d3878a8d30b09fae7915dca2a0
117,2024-07-19,optimism,canonical,dht-dhedge-dao-token,0xca1207647ff814039530d7d35df0e1dd2e91fa84,1995313.07,Immutable Factory Created,0xca1207647ff814039530d7d35df0e1dd2e91fa84,0xaf9fe3b5ccdae78188b1f8b9a49da7ae9510f151
118,2024-07-19,optimism,canonical,dola-dola-usd-stablecoin,0x865377367054516e17014ccded1e7d814edc9ce4,4247566.28,Immutable Factory Created,0x865377367054516e17014ccded1e7d814edc9ce4,0x8ae125e8653821e851f12a49f7765db9a9ce7384
115,2024-07-19,optimism,canonical,mana-decentraland-mana,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,173.7,Immutable Factory Created,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0xbb31f2e5cf89ae61c5e15ed917f365f582d0a2fe
113,2024-07-19,optimism,canonical,dai-dai-stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,30360274.139999997,Immutable Factory Created,0x6b175474e89094c44da98b954eedeac495271d0f,0x67352c8fa4caa3a2d1c36f4febc513d00cf2aaa9
106,2024-07-19,optimism,canonical,comp-compound,0xc00e94cb662c3520282e6f5717214004a7f26888,171388.14,Immutable Factory Created,0xc00e94cb662c3520282e6f5717214004a7f26888,0x7e7d4467112689329f7e06571ed0e8cbad4910ee
107,2024-07-19,optimism,canonical,cro-cro,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,192.25,Immutable Factory Created,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,0x0c387bcd77e4ec57af8c2709e4322ac05d74bfd7
109,2024-07-19,optimism,canonical,crv-curve-dao-token,0xd533a949740bb3306d119cc777fa900ba034cd52,1749933.13,Immutable Factory Created,0xd533a949740bb3306d119cc777fa900ba034cd52,0x0994206dfe8de6ec6920ff4d779b0d950605fb53
110,2024-07-19,optimism,canonical,crvusd-curve.fi-usd-stablecoin,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,3882231.39,Immutable Factory Created,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,0xc52d7f23a2e460248db6ee192cb23dd12bddcbf6
116,2024-07-19,optimism,canonical,usdd-decentralized-usd,0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6,610.36,Immutable Factory Created,0x0c10bf8fcb7bf5412187a595ab97a3609160b5c6,0x7113370218f31764c1b6353bdf6004d86ff6b9cc
138,2024-07-19,optimism,canonical,perp-perpetual,0xbc396689893d065f41bc2c6ecbee5e0085233447,19064094.16,Immutable Factory Created,0xbc396689893d065f41bc2c6ecbee5e0085233447,0x9e1028f5f1d5ede59748ffcee5532509976840e0
125,2024-07-19,optimism,canonical,han-hanchain,0x0c90c57aaf95a3a87eadda6ec3974c99d786511f,7576455.61,Immutable Factory Created,0x0c90c57aaf95a3a87eadda6ec3974c99d786511f,0x50bce64397c75488465253c0a034b8097fea6578
172,2024-07-19,optimism,canonical,xyo-xy-oracle,0x55296f69f40ea6d20e478533c15a6b08b654e758,17703.1,Immutable Factory Created,0x55296f69f40ea6d20e478533c15a6b08b654e758,0x9db118d43069b73b8a252bf0be49d50edbd81fc8
171,2024-07-19,optimism,canonical,toncoin-wrapped-ton-coin,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,1641.14,Immutable Factory Created,0x582d872a1b094fc48f5de31d3b73f2d9be47def1,0x5527d9af9b6adb7ad69e72833c4cc626a4bfc357
167,2024-07-19,optimism,canonical,wsteth-wrapped-liquid-staked-ether-2.0,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,132248619.25999999,Immutable Factory Created,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xc72751efd79b153d5bdc7e1a43b4b98aa2aa04c7
165,2024-07-19,optimism,canonical,weeth-wrapped-eeth,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,96715.4,Immutable Factory Created,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,0x346e03f8cce9fe01dcb3d0da3e9d00dc2c0e08f0
163,2024-07-19,optimism,canonical,wld-worldcoin,0x163f8c2467924be0ae7b5347228cabf260318753,618940080.0,Immutable Factory Created,0x163f8c2467924be0ae7b5347228cabf260318753,0xdc6ff44d5d932cbd77b52e5612ba0529dc6226f1
162,2024-07-19,optimism,canonical,woo-wootrade-network,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,428797.98,Immutable Factory Created,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,0x871f2f2ff935fd1ed867842ff2a7bfd051a5e527
156,2024-07-19,optimism,canonical,uma-uma-voting-token-v1,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,74794.98,Immutable Factory Created,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0xe7798f023fc62146e8aa1b36da45fb70855a77ea
155,2024-07-19,optimism,canonical,tusd-trueusd,0x0000000000085d4780b73119b644ae5ecd22b376,5523.8,Immutable Factory Created,0x0000000000085d4780b73119b644ae5ecd22b376,0xcb59a0a753fdb7491d5f3d794316f1ade197b21e
150,2024-07-19,optimism,canonical,sushi-sushitoken,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,19925.36,Immutable Factory Created,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x3eaeb77b03dbc0f6321ae1b72b2e9adb0f60112b
148,2024-07-19,optimism,canonical,sdai-savings-dai,0x83f20f44975d03b1b09e64809b757c47f942beea,116418.42,Immutable Factory Created,0x83f20f44975d03b1b09e64809b757c47f942beea,0x2218a117083f5b482b0bb821d27056ba9c04b1d3
127,2024-07-19,optimism,canonical,knc-kyber-network-crystal-v2,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,265386.45,Immutable Factory Created,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,0xa00e3a3511aac35ca78530c85007afcd31753819
128,2024-07-19,optimism,canonical,ldo-lido-dao-token,0x5a98fcbea516cf06857215779fd812ca3bef1b32,834871.44,Immutable Factory Created,0x5a98fcbea516cf06857215779fd812ca3bef1b32,0xfdb794692724153d1488ccdbe0c56c252596735f
129,2024-07-19,optimism,canonical,lrc-loopringcoin-v2,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,1372.74,Immutable Factory Created,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0xfeaa9194f9f8c1b65429e31341a103071464907e
132,2024-07-19,optimism,canonical,lyra-lyra-token,0x01ba67aac7f75f647d94220cc98fb30fcc5105bf,111949.04,Immutable Factory Created,0x01ba67aac7f75f647d94220cc98fb30fcc5105bf,0x50c5725949a6f0c72e6c4a641f24049a917db0cb
134,2024-07-19,optimism,canonical,matic-matic-token,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,286.18,Immutable Factory Created,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0xe211233fe8b6964208cfc7ca66df9c0340088670
124,2024-07-19,optimism,canonical,hair-hairdao-token,0x9ce115f0341ae5dabc8b477b74e83db2018a6f42,2295778.4,Immutable Factory Created,0x9ce115f0341ae5dabc8b477b74e83db2018a6f42,0x5465145a47260d5e715733997333a175d97285bb
135,2024-07-19,optimism,canonical,ocean-ocean-token,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,810.08,Immutable Factory Created,0x967da4048cd07ab37855c090aaf366e4ce1b9f48,0x2561aa2bb1d2eb6629edd7b0938d7679b8b49f9e
139,2024-07-19,optimism,canonical,pt-phemex-token,0xbbb32f99e6f2cb29337eebaa43c5069386de6e6c,178342889.99,Immutable Factory Created,0xbbb32f99e6f2cb29337eebaa43c5069386de6e6c,0x35b5a3bf31b67f832230da9424824edc9f7ad98c
140,2024-07-19,optimism,canonical,pla-playdapp-token,0x3a4f40631a4f906c2bad353ed06de7a5d3fcb430,54.51,Immutable Factory Created,0x3a4f40631a4f906c2bad353ed06de7a5d3fcb430,0xd4b1427d4d3083f494fed1c2d51f1759e6e7c891
141,2024-07-19,optimism,canonical,premia-premia,0x6399c842dd2be3de30bf99bc7d1bbf6fa3650e70,198818.76,Immutable Factory Created,0x6399c842dd2be3de30bf99bc7d1bbf6fa3650e70,0x374ad0f47f4ca39c78e5cc54f1c9e426ff8f231a
142,2024-07-19,optimism,canonical,pstake-pstake-finance,0xfb5c6815ca3ac72ce9f5006869ae67f18bf77006,40772.49,Immutable Factory Created,0xfb5c6815ca3ac72ce9f5006869ae67f18bf77006,0x023550adde4fa2f90d63a41d9282bee0294c04cd
146,2024-07-19,optimism,canonical,rpl-rocket-pool-protocol,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,7948.66,Immutable Factory Created,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,0xc81d1f0eb955b0c020e5d5b264e1ff72c14d1401
147,2024-07-19,optimism,canonical,sand-sand,0x3845badade8e6dff049820680d1f14bd3903a5d0,119.28,Immutable Factory Created,0x3845badade8e6dff049820680d1f14bd3903a5d0,0xf16bf805eba1658a02fdef9bd78f6402b74f0ed9
137,2024-07-19,optimism,canonical,pepe-pepe,0x6982508145454ce325ddbe47a25d4ec3d2311933,3194.69,Immutable Factory Created,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xc1c167cc44f7923cd0062c4370df962f9ddb16f5
105,2024-07-19,optimism,canonical,cbeth-coinbase-wrapped-staked-eth,0xbe9895146f7af43049ca1c1ae358b0541ea49704,363196.04,Immutable Factory Created,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0xaddb6a0412de1ba0f936dcaeb8aaa24578dcf3b2
1,2024-07-19,base,canonical,zrx-0x-protocol-token,0xe41d2489571d322189246dafa5ebde1f4699f498,2418.48,Immutable Factory Created,0xe41d2489571d322189246dafa5ebde1f4699f498,0x3bb4445d30ac020a84c1b5a8a2c6248ebc9779d0
24,2024-07-19,base,canonical,dai-dai-stablecoin,0x6b175474e89094c44da98b954eedeac495271d0f,3660818.57,Immutable Factory Created,0x6b175474e89094c44da98b954eedeac495271d0f,0x991dc83d4a074977cfdffccd1700a3ddbdcd20ae
31,2024-07-19,base,canonical,dht-dhedge-dao-token,0xca1207647ff814039530d7d35df0e1dd2e91fa84,1066525.98,Immutable Factory Created,0xca1207647ff814039530d7d35df0e1dd2e91fa84,0x8ae125e8653821e851f12a49f7765db9a9ce7384
33,2024-07-19,base,canonical,dola-dola-usd-stablecoin,0x865377367054516e17014ccded1e7d814edc9ce4,56124496.22,Immutable Factory Created,0x865377367054516e17014ccded1e7d814edc9ce4,0x4621b7a9c75199271f773ebd9a499dbd165c3191
34,2024-07-19,base,canonical,gene-genomesdao,0x21413c119b0c11c5d96ae1bd328917bc5c8ed67e,0.9,Immutable Factory Created,0x21413c119b0c11c5d96ae1bd328917bc5c8ed67e,0xe8f4c2257e90e7f7fd131d6d5949851cde5b2a9b
36,2024-07-19,base,canonical,hair-hairdao-token,0x9ce115f0341ae5dabc8b477b74e83db2018a6f42,200458.64,Immutable Factory Created,0x9ce115f0341ae5dabc8b477b74e83db2018a6f42,0x3a38dde9824e18cc4c0a147824f95bf5d608f0b3
37,2024-07-19,base,canonical,knc-kyber-network-crystal-v2,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,6186.8,Immutable Factory Created,0xdefa4e8a7bcba345f687a2f1456f5edd9ce97202,0x94332448acf26735f1070e277fb7326a71075d76
39,2024-07-19,base,canonical,lrc-loopringcoin-v2,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0.1,Immutable Factory Created,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,0x0d760ee479401bb4c40bdb7604b329fff411b3f2
40,2024-07-19,base,canonical,lqty-lqty,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,31.09,Immutable Factory Created,0x6dea81c8171d0ba574754ef6f8b412f2ed88c54d,0x5259384690acf240e9b0a8811bd0ffbfbddc125c
20,2024-07-19,base,canonical,crvusd-curve.fi-usd-stablecoin,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,1118168.39,Immutable Factory Created,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,0x417ac0e078398c154edfadd9ef675d30be60af93
2,2024-07-19,base,canonical,1inch-1inch-token,0x111111111117dc0aa78b770fa6a738034120c302,28305.58,Immutable Factory Created,0x111111111117dc0aa78b770fa6a738034120c302,0x7113370218f31764c1b6353bdf6004d86ff6b9cc
4,2024-07-19,base,canonical,arpa-arpa-token,0xba50933c268f567bdc86e1ac131be072c6b0b71a,5565.16,Immutable Factory Created,0xba50933c268f567bdc86e1ac131be072c6b0b71a,0x1c9fa01e87487712706fb469a13beb234262c867
5,2024-07-19,base,canonical,bal-balancer,0xba100000625a3754423978a60c9317c58a424e3d,702157.51,Immutable Factory Created,0xba100000625a3754423978a60c9317c58a424e3d,0x7c6b91d9be155a6db01f749217d76ff02a7227f2
7,2024-07-19,base,canonical,ctsi-cartesi-token,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,0.16,Immutable Factory Created,0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,0x259fac10c5cbfefe3e710e1d9467f70a76138d45
13,2024-07-19,base,canonical,comp-compound,0xc00e94cb662c3520282e6f5717214004a7f26888,463162.94,Immutable Factory Created,0xc00e94cb662c3520282e6f5717214004a7f26888,0x52b7d8851d6ccbc6342ba0855be65f7b82a3f17f
16,2024-07-19,base,canonical,crv-curve-dao-token,0xd533a949740bb3306d119cc777fa900ba034cd52,273557.62,Immutable Factory Created,0xd533a949740bb3306d119cc777fa900ba034cd52,0xc8058960a9d7e7d81143bdba38d19e6824165932
10,2024-07-19,base,canonical,xcn-chain,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,540734.24,Immutable Factory Created,0xa2cd3d43c775978a96bdbf12d733d5a1ed94fb18,0x9c632e6aaa3ea73f91554f8a3cb2ed2f29605e0c
41,2024-07-19,base,canonical,lusd-lusd-stablecoin,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,435648.46,Immutable Factory Created,0x5f98805a4e8be255a32880fdec7f6728c6568ba0,0x368181499736d0c0cc614dbb145e2ec1ac86b8c6
42,2024-07-19,base,canonical,omi-omi-token,0xed35af169af46a02ee13b9d79eb57d6d68c1749e,807549.86,Immutable Factory Created,0xed35af169af46a02ee13b9d79eb57d6d68c1749e,0x3792dbdd07e87413247df995e692806aa13d3299
43,2024-07-19,base,canonical,pepe-pepe,0x6982508145454ce325ddbe47a25d4ec3d2311933,142.95,Immutable Factory Created,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xb4fde59a779991bfb6a52253b51947828b982be3
67,2024-07-19,base,canonical,trac-trace-token,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,1122652.57,Immutable Factory Created,0xaa7a9ca87d3694b5755f213b5d04094b8d0f0a6f,0x479067cf3331c0816bf3278f746b3ab0d164b27b
68,2024-07-19,base,canonical,uni-uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,327840.6,Immutable Factory Created,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xc3de830ea07524a0761646a6a4e4be0e114a3c83
72,2024-07-19,base,canonical,weeth-wrapped-eeth,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,120721.05,Immutable Factory Created,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,0x4c94de27c94962dba6ebb77924ac54189db75efa
74,2024-07-19,base,canonical,xyo-xy-oracle,0x55296f69f40ea6d20e478533c15a6b08b654e758,51667.59,Immutable Factory Created,0x55296f69f40ea6d20e478533c15a6b08b654e758,0xd7b99ffb8b2afc6fe013a17207cbe50f223adc94
75,2024-07-19,base,canonical,yfi-yearn.finance,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,70345.0,Immutable Factory Created,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x9eaf8c1e34f05a589eda6bafdf391cf6ad3cb239
91,2024-07-19,optimism,canonical,zrx-0x-protocol-token,0xe41d2489571d322189246dafa5ebde1f4699f498,157696.92,Immutable Factory Created,0xe41d2489571d322189246dafa5ebde1f4699f498,0xd1917629b3e6a72e6772aab5dbe58eb7fa3c2f33
