,defillamaId,name,slug,disabled,displayName,module,category,logo,change_1d,change_7d,change_1m,change_7dover7d,change_30dover30d,total24h,total48hto24h,total7d,total30d,total14dto7d,total60dto30d,total1y,average1y,totalAllTime,breakdown24h,chains,protocolType,methodologyURL,methodology,parentProtocol,latestFetchIsOk,dailyRevenue,dailyHoldersRevenue,dailyCreatorRevenue,dailySupplySideRevenue,dailyProtocolRevenue,dailyBribesRevenue,dailyTokenTaxes,totalVolume7d,totalVolume30d,holdersRevenue30d,bribesRevenue30d,dailyUserFees,dailyFees,versionKey,totalUserFees,totalFees,tokenTaxes30d,totalRevenue,totalProtocolRevenue
10,3481,Solidly V3,solidly-v3,False,Solidly V3,solidly-v3,Dexes,https://icons.llamao.fi/icons/protocols/solidly-v3.png,-11.24,12.86,92.68,-32.46,174.61,79.0,89.0,466.0,2098.0,690.0,764.0,0.0,0.0,,{'optimism': {'solidly-v3': 79}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/solidly-v3.ts,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",parent#solidly-labs,True,79.0,79.0,,316.0,0.0,,,70.0,41.0,2098.0,,395.0,395.0,,,,,,
11,119,SushiSwap V3,sushiswap-v3,False,SushiSwap V3,sushiswap,Dexes,https://icons.llamao.fi/icons/protocols/sushiswap.png,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,{'optimism': {'v3': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/sushiswap,"{'UserFees': 'Users pay between 0.01% to 1% fee', 'Fees': 'Each pool charge between 0.01% to 1% fee', 'Revenue': '0 to 1/4 of the fee goes to treasury', 'ProtocolRevenue': 'Treasury receives a share of the fees', 'HoldersRevenue': 'None', 'SupplySideRevenue': 'Liquidity providers get most of the fees of all trades in their pools'}",parent#sushi,True,0.0,0.0,,65.0,0.0,,,0.0,0.0,0.0,,65.0,65.0,v3,,,,,
12,115,Synthetix,synthetix,False,Synthetix,synthetix,Synthetics,https://icons.llamao.fi/icons/protocols/synthetix.png,-35.39,2.02,46.31,-30.84,-66.5,19186.0,29694.0,128930.0,622825.0,186426.0,1859088.0,29106065.160112824,2238928.0892394492,,{'optimism': {'synthetix': 19186}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/synthetix.ts,"{'UserFees': 'Users pay between 10-100 bps (0.1%-1%), usually 30 bps, whenever they exchange a synthetic asset (Synth)', 'Fees': 'Fees generated on each synthetic asset exchange, between 0.1% and 1% (usually 0.3%)', 'Revenue': 'Fees paid by users and awarded to SNX stakers', 'ProtocolRevenue': 'Percentage of fees going to treasury', 'SupplySideRevenue': 'LPs revenue', 'HoldersRevenue': 'Fees are granted proportionally to SNX stakers by automatically burning outstanding debt (note: rewards not included here can also be claimed by SNX stakers)'}",parent#synthetix,True,19186.0,19186.0,,0.0,0.0,,,18807.0,13113.0,622825.0,,19186.0,19186.0,,,,,,
13,4555,TLX Finance,tlx-finance,False,TLX Finance,tlx-finance,Derivatives,https://icons.llamao.fi/icons/protocols/tlx-finance.jpg,-42.17,5.68,-0.13,16.15,37.02,2381.0,4117.0,17856.0,195455.0,15373.0,142650.0,0.0,0.0,,{'optimism': {'tlx-finance': 2381}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/tlx-finance,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'Fees going to treasury', 'HoldersRevenue': 'Fees going to governance token holders', 'SupplySideRevenue': 'LPs revenue'}",,True,2381.0,2381.0,,0.0,0.0,,,2253.0,2384.0,195133.0,,,2381.0,,,,,,
14,1833,UniDex,unidex,False,UniDex,unidex,Derivatives,https://icons.llamao.fi/icons/protocols/unidex.jpg,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/unidex.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees collected from user trading fees', 'Revenue': 'Fees going to the treasury + holders', 'ProtocolRevenue': 'Fees going to treasury', 'HoldersRevenue': 'Fees going to governance token holders', 'SupplySideRevenue': 'LPs revenue', 'SupplySideFees': 'Fees going to liquidity providers of the protocol'}",,True,,,,,,,,,,,,,,,,,,,
15,1799,Velodrome V1,velodrome-v1,False,Velodrome V1,velodrome,Dexes,https://icons.llamao.fi/icons/protocols/velodrome-v1.png,-50.0,25.93,0.0,-5.5,-27.54,34.0,68.0,292.0,1097.0,309.0,1514.0,39917.16197388519,3070.550921068091,,{'optimism': {'velodrome': 34}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/velodrome,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",parent#velodrome,True,34.0,34.0,,,0.0,,,27.0,34.0,1072.0,0.0,,,,,,,,
16,4249,Velodrome V3,velodrome-v3,False,Velodrome V3,velodrome-slipstream,Dexes,https://icons.llamao.fi/icons/protocols/velodrome-v3.jpg,-37.66,21.0,-38.53,13.35,-1.99,19535.0,31335.0,131065.0,650248.0,115628.0,663426.0,0.0,0.0,,{'optimism': {'velodrome-slipstream': 19535}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/dexs/velodrome-slipstream,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",parent#velodrome,True,19535.0,19535.0,,,0.0,,,16145.0,31780.0,640339.0,,,,,,,,,
17,3302,Velodrome V2,velodrome-v2,False,Velodrome V2,velodrome-v2,Dexes,https://icons.llamao.fi/icons/protocols/velodrome-v2.png,-25.26,90.09,-41.68,-9.02,-2.03,18277.0,24455.0,118181.0,435805.0,129896.0,444821.0,0.0,0.0,,{'optimism': {'velodrome-v2': 18277}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/velodrome-v2,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",parent#velodrome,True,18277.0,18277.0,,,0.0,208174.0,,9615.0,31338.0,418767.0,1684346.0,,,,,,,,
18,1461,WOOFi Swap,woofi-swap,False,WOOFi Swap,woofi,Dexes,https://icons.llamao.fi/icons/protocols/woofi.png,,,,6.05,0.0,0.0,1405.0,10778.0,38017.0,10163.0,0.0,273314.11266000016,21024.162512307692,,{'optimism': {'woofi': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/woofi.ts,"{'UserFees': 'Swap fees paid by users', 'Fees': 'Swap fees paid by users', 'Revenue': 'Percentage of swap fees going to treasury and/or token holders', 'ProtocolRevenue': 'Percentage of swap fees going to treasury', 'HoldersRevenue': 'Money going to governance token holders', 'SupplySideRevenue': 'Liquidity providers revenue'}",parent#woofi,True,0.0,0.0,,,0.0,,,1099.0,0.0,31915.0,,,,,,,,,
19,111,AAVE V3,aave-v3,False,AAVE V3,aave,Lending,https://icons.llamao.fi/icons/protocols/aave-v3.png,,,,-32.55,-0.82,0.0,0.0,11291.0,53412.0,16740.0,53853.0,614873.3062758339,47297.946636602595,,{'optimism': {'v3': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/aave,"{'UserFees': 'Interest paid by borrowers', 'Fees': 'Interest paid by borrowers', 'Revenue': 'Percentage of interest going to treasury', 'ProtocolRevenue': 'Percentage of interest going to treasury', 'SupplySideRevenue': 'Interest paid to lenders'}",parent#aave,True,0.0,,,,0.0,,,1.0,2.0,,,,,v3,,,,,
20,204,Alchemix,alchemix,False,Alchemix,alchemix,Synthetics,https://icons.llamao.fi/icons/protocols/alchemix.jpg,0.0,,-52.31,0.0,498.0,31.0,31.0,456.0,897.0,0.0,150.0,1807.37228420702,139.02863724669382,,{'optimism': {'alchemix': 31}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/alchemix.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Fees paid by users', 'ProtocolRevenue': 'Percentage of fees going to treasury', 'SupplySideRevenue': 'LPs revenue'}",,True,31.0,,,,31.0,,,0.0,65.0,,,,,,,,,,
21,3944,Allbridge Core,allbridge-core,False,Allbridge Core,allbridge-core,Bridge,https://icons.llamao.fi/icons/protocols/allbridge-core.png,400.0,1900.0,185.71,-45.45,-19.87,20.0,4.0,42.0,363.0,77.0,453.0,0.0,0.0,,{'optimism': {'allbridge-core': 20}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/allbridge-core.ts,"{'Fees': 'A 0.3% fee is charged for token swaps', 'SupplySideRevenue': 'A 0.24% of each swap is distributed to liquidity providers', 'Revenue': 'A 0.06% of each swap goes to governance'}",,True,20.0,,,78.0,,,,1.0,7.0,,,,98.0,,,,,,
22,756,Angle,angle,False,Angle,angle,CDP,https://icons.llamao.fi/icons/protocols/angle.jpg,,,,,,,,,,,,,,5664.0,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/angle,"{'UserFees': 'Interest paid to borrow', 'Fees': 'Interest paid by borrowers', 'Revenue': 'Interest paid by borrowers', 'ProtocolRevenue': 'Interest paid by borrowers'}",,True,,,,,,,,,,,,,,,,,,,
23,326,Beefy,beefy,False,Beefy,beefy,Yield Aggregator,https://icons.llamao.fi/icons/protocols/beefy.png,,,,0.0,-85.91,0.0,0.0,0.0,5176.0,5176.0,36747.0,0.0,0.0,,{'optimism': {'beefy': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/beefy,"{'Fees': '9.5% of each harvest is charged as a performance fee', 'Revenue': 'All fees except for 0.5% to strategist and variable harvest() call fee are revenue', 'HoldersRevenue': '36% of revenue is distributed to holders who stake', 'ProtocolRevenue': '64% of revenue is distributed to the treasury'}",,True,0.0,0.0,,,0.0,,,5176.0,0.0,1863.0,,,0.0,,,,,,
24,2734,Blast API,blast-api,False,Blast API,blastapi,Services,https://icons.llamao.fi/icons/protocols/blast-api.jpg,,,,0.0,-92.51,0.0,300.0,300.0,300.0,0.0,4003.0,15104.955518245119,1161.9196552496248,,{'optimism': {'blastapi': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/blastapi.ts,{},,True,0.0,,,,0.0,,,0.0,0.0,,,,0.0,,,,,,
25,3675,Chainlink CCIP,chainlink-ccip,False,Chainlink CCIP,chainlink-ccip,Services,https://icons.llamao.fi/icons/protocols/chainlink-ccip.jpg,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,{'optimism': {'chainlink-ccip': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/chainlink-ccip.ts,{},parent#chainlink,True,0.0,,,,0.0,,,0.0,0.0,,,,0.0,,,,,,
26,2623,Chainlink Requests,chainlink-requests,False,Chainlink Requests,chainlink-requests,Oracle,https://icons.llamao.fi/icons/protocols/chainlink-requests.jpg,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/chainlink-requests.ts,{},parent#chainlink,True,,,,,,,,,,,,,,,,,,,
27,3846,deBridge,debridge,False,deBridge,dln,Services,https://icons.llamao.fi/icons/protocols/debridge.jpg,34.45,-22.01,-22.89,-10.55,-51.83,5171.0,3846.0,28531.0,165410.0,31897.0,343415.0,1295332.3864152287,99640.95280117146,,{'optimism': {'dln': 5171}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/dln,{},,True,5171.0,,,,,,,6630.0,6706.0,,,,5171.0,,,,,,
28,2974,Extra Finance,extra-finance,False,Extra Finance,extra,Leveraged Farming,https://icons.llamao.fi/icons/protocols/extra-finance.jpg,,,,,,,,,,,,,,,,['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/extra,{},,True,,,,,,,,,,,,,,,,,,,
29,742,Furucombo,furucombo,False,Furucombo,furucombo,Services,https://icons.llamao.fi/icons/protocols/furucombo.png,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896.0,{'optimism': {'furucombo': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/furucombo,{},,True,0.0,,,,0.0,,,0.0,0.0,,,,0.0,,,,,,
30,355,Gamma,gamma,False,Gamma,gamma,Liquidity manager,https://icons.llamao.fi/icons/protocols/gamma.jpg,-37.52,100.12,612.03,7.94,523.06,3432.0,5493.0,12078.0,36723.0,11190.0,5894.0,545298.521466943,41946.04011284179,,{'optimism': {'gamma': 3432}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/gamma.ts,{},,True,3432.0,,,,,,,1715.0,482.0,,,,3432.0,,,,,,
31,2254,MUX Protocol,mux-protocol,False,MUX Protocol,mux,Derivatives,https://icons.llamao.fi/icons/protocols/mux-protocol.png,-91.11,-83.45,-63.1,58.23,-14.81,138.0,1553.0,2595.0,7929.0,1640.0,9307.0,77122.71872269906,5932.516824823008,,{'optimism': {'mux': 138}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/mux.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'Fees going to treasury', 'HoldersRevenue': 'Fees going to governance token holders', 'SupplySideRevenue': 'LPs revenue'}",,True,138.0,31.0,,0.0,107.0,,,834.0,374.0,2796.0,,,138.0,,,,,,
32,2546,NFTEarth,nftearth,False,NFTEarth,nftearth,NFT Marketplace,https://icons.llamao.fi/icons/protocols/nftearth.jpg,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,{'optimism': {'nftearth': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/nftearth.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Marketplace revenue', 'ProtocolRevenue': 'Marketplace revenue'}",,True,0.0,,,,0.0,,,0.0,0.0,,,,,,,,,,
33,3951,ODOS,odos,False,ODOS,odos,DEX Aggregator,https://icons.llamao.fi/icons/protocols/odos.jpg,-77.88,47.92,-51.7,-26.12,-5.04,71.0,321.0,1058.0,3787.0,1432.0,3988.0,30236.705432154646,2325.90041785805,,{'optimism': {'odos': 71}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/odos.ts,{},,True,71.0,0.0,,0.0,71.0,,,48.0,147.0,0.0,,,71.0,,,,,,
34,11840,Optimism,optimism,False,Optimism,optimism,Rollup,https://icons.llamao.fi/icons/chains/rsz_optimism.jpg,-2.66,15.66,56.33,-52.26,-2.25,59957.0,61595.0,218233.0,1569723.0,457113.0,1605810.0,13295506.62941645,1022731.2791858807,,{'optimism': {'optimism': 59957}},['Optimism'],chain,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/optimism.ts,"{'UserFees': 'Fees paid by users to sequencer', 'Fees': 'Fees collected by sequencer paid by users', 'Revenue': 'ETH earned from user fees minus cost to send transactions in L1', 'ProtocolRevenue': 'ETH earned from user fees minus cost to send transactions in L1'}",,True,59957.0,,,,,,,51838.0,38354.0,,,,,,,,,,
35,894,Paraswap,paraswap,False,Paraswap,paraswap,DEX Aggregator,https://icons.llamao.fi/icons/protocols/paraswap.jpg,76.6,107.5,-35.16,-69.7,-2.48,83.0,47.0,416.0,2871.0,1373.0,2944.0,47541.15089999999,3657.0116076923073,66190.0,{'optimism': {'paraswap': 83}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/paraswap.ts,{},,True,83.0,,,,,,,40.0,128.0,,,,83.0,,,,,,
36,382,Pendle,pendle,False,Pendle,pendle,Yield,https://icons.llamao.fi/icons/protocols/pendle.jpg,,,,-9.62,1347.76,0.0,288.0,329.0,970.0,364.0,67.0,0.0,0.0,,{'optimism': {'pendle': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/pendle.ts,"{'UserFees': 'Pays management + performance fees', 'Fees': 'Yield', 'Revenue': 'Management + performance fees', 'ProtocolRevenue': 'Gets management + performance fees', 'SupplySideRevenue': 'Generated yield excluding protocol fees'}",,True,0.0,0.0,,0.0,0.0,,,77.0,0.0,970.0,,0.0,0.0,,,,,,
37,362,Perpetual Protocol,perpetual-protocol,False,Perpetual Protocol,perpetual-protocol,Derivatives,https://icons.llamao.fi/icons/protocols/perpetual-protocol.png,-47.32,0.0,-41.75,-10.94,-32.19,226.0,429.0,1994.0,7932.0,2239.0,11697.0,752353.8049182022,57873.369609092464,,{'optimism': {'perpetual-protocol': 226}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/perpetual-protocol.ts,"{'UserFees': 'Fees paid by users', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'Fees going to treasury', 'HoldersRevenue': 'Fees going to governance token holders', 'SupplySideRevenue': 'LPs revenue'}",,True,226.0,,,904.0,,,,226.0,388.0,,,,1130.0,,,,,,
38,381,Premia V2,premia-v2,False,Premia V2,premia,Options,https://icons.llamao.fi/icons/protocols/premia-v2.jpg,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1381.005464914863,106.23118960883562,26935.0,{'optimism': {'v2': 0}},['Optimism'],protocol,https://github.com/DefiLlama/dimension-adapters/blob/master/fees/premia,"{'UserFees': 'Traders pay taker fees on each trade up to 3% of the option premium.', 'Fees': 'Fees paid by users', 'Revenue': 'Treasury and token holders revenue', 'ProtocolRevenue': 'The protocol collects 20% of the taker fees.', 'HoldersRevenue': 'vxPREMIA holders collect 80% of the taker fees.', 'SupplySideRevenue': 'Liquidity providers earn revenue from market-making options.'}",parent#premia,True,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,v2,,,,,
